Date,Time,Ping (ms),Download (Mbps),Upload (Mbps)
2025-10-01,00:00:37,18.3,28.45,28.49
2025-10-01,00:30:37,19.1,28.31,28.71
2025-10-01,01:00:38,14.9,28.43,28.77
2025-10-01,01:11:22,30.0,28.54,28.96
2025-10-01,01:30:35,28.4,29.07,28.57
2025-10-01,02:00:38,21.5,28.80,28.75
2025-10-01,02:30:43,26.0,28.70,28.80
2025-10-01,03:00:43,20.6,28.97,28.47
2025-10-01,03:30:43,26.7,29.12,28.77
2025-10-01,04:00:45,20.1,31.00,28.56
2025-10-01,04:30:46,23.3,31.38,28.61
2025-10-01,05:00:44,22.3,28.63,28.85
2025-10-01,05:30:42,21.5,29.56,29.01
2025-10-01,06:00:40,23.1,28.87,28.53
2025-10-01,06:30:44,23.1,28.72,29.15
2025-10-01,07:00:41,20.4,28.95,29.17
2025-10-01,07:30:44,27.1,28.46,29.24
2025-10-01,08:00:39,26.3,28.87,28.73
2025-10-01,08:30:42,35.5,28.40,29.06
2025-10-01,09:00:47,26.2,30.61,28.58
2025-10-01,09:30:44,30.2,28.49,28.56
2025-10-01,10:00:42,30.2,23.43,29.09
2025-10-01,10:30:35,22.0,28.93,28.35
2025-10-01,11:00:37,27.1,29.54,28.67
2025-10-01,11:30:38,23.4,28.26,28.63
2025-10-01,12:00:38,29.0,15.36,29.02
2025-10-01,12:30:40,23.6,28.68,28.67
2025-10-01,12:45:56,19.6,28.74,28.87
2025-10-01,13:00:38,25.9,29.10,28.93
2025-10-01,13:30:41,25.6,28.71,29.05
2025-10-01,14:00:39,29.2,28.40,28.67
2025-10-01,14:30:39,22.0,28.49,28.78
2025-10-01,15:00:36,21.7,28.19,28.65
2025-10-01,15:15:41,29.8,28.02,28.64
2025-10-01,15:30:37,30.3,28.65,28.69
2025-10-01,16:00:40,24.4,26.51,28.53
2025-10-01,16:30:43,25.3,26.44,28.58
2025-10-01,17:00:34,21.2,28.48,28.74
2025-10-01,17:30:36,22.6,28.60,28.83
2025-10-01,18:00:38,28.1,27.98,29.34
2025-10-01,18:30:35,18.5,28.37,29.33
2025-10-01,19:00:38,22.9,28.19,28.79
2025-10-01,19:30:32,27.1,27.60,31.84
2025-10-01,20:00:41,25.2,27.21,31.97
2025-10-01,20:30:45,45.4,29.25,29.68
2025-10-01,21:00:36,18.0,27.93,31.01
2025-10-01,21:30:41,21.6,23.51,29.26
2025-10-01,22:00:37,19.6,27.65,28.93
2025-10-01,22:30:39,18.0,28.57,29.01
2025-10-01,23:00:43,19.8,30.23,29.10
2025-10-01,23:30:37,18.0,28.78,28.64
